product_type,category1,category2,category3,collect_date,brand,product_id,product_name,category,min_price,style_id,gender_label,base_category,is_best,is_new
의류,상의,긴팔티셔츠,일반,2026-04-17,룰루레몬,prod11870234,뉴 벤처 롱슬리브 셔츠 *업데이트 슬림 핏,mens-long-sleeve-tops,169000,prod11870234,Men,long-sleeve-tops,False,False
의류,상의,긴팔티셔츠,일반,2026-04-17,룰루레몬,prod11870214,뉴 벤처 롱슬리브 셔츠 *업데이티드 클래식 핏,mens-long-sleeve-tops,169000,prod11870214,Men,long-sleeve-tops,False,False
의류,상의,긴팔티셔츠,일반,2026-04-17,룰루레몬,prod10641751,뉴 벤처 슬림 핏 롱슬리브 셔츠,mens-long-sleeve-tops,118000,prod10641751,Men,long-sleeve-tops,False,False
의류,상의,긴팔티셔츠,일반,2026-04-17,룰루레몬,y26melu8am,롱슬리브 코튼 럭비 셔츠,mens-long-sleeve-tops,118000,y26melu8am,Men,long-sleeve-tops,False,False
의류,상의,긴팔티셔츠,일반,2026-04-17,룰루레몬,prod11660009,루나 뉴 이어 메탈 벤트 테크 롱슬리브 셔츠,mens-long-sleeve-tops,125000,prod11660009,Men,long-sleeve-tops,False,False
의류,상의,긴팔티셔츠,일반,2026-04-17,룰루레몬,prod20008487,루나 뉴 이어 소프트 저지 롱슬리브 셔츠,mens-long-sleeve-tops,93000,prod20008487,Men,long-sleeve-tops,False,False
의류,상의,긴팔티셔츠,일반,2026-04-17,룰루레몬,prod20008687,루나 뉴 이어 소프트 저지 하프집,mens-long-sleeve-tops,159000,prod20008687,Men,long-sleeve-tops,False,False
의류,상의,긴팔티셔츠,일반,2026-04-17,룰루레몬,prod11580316,루나 뉴 이어 스위프틀리 테크 롱슬리브 셔츠 2.0 *웨이스트 렝스,womens-long-sleeve-tops,87000,prod11580316,Women,long-sleeve-tops,False,False
의류,상의,긴팔티셔츠,일반,2026-04-17,룰루레몬,prod20006651,루나 뉴 이어 원더모스트 Ultra-Soft Nulu 크루넥 롱슬리브 셔츠,womens-long-sleeve-tops,76000,prod20006651,Women,long-sleeve-tops,False,False
의류,상의,긴팔티셔츠,일반,2026-04-17,룰루레몬,prod20000135,마일 메이커 메리노 울 블렌드 롱슬리브 셔츠,mens-long-sleeve-tops,138000,prod20000135,Men,long-sleeve-tops,False,False
의류,상의,긴팔티셔츠,일반,2026-04-17,룰루레몬,prod11710149,메탈 벤트 테크 롱슬리브 셔츠,mens-long-sleeve-tops,76000,prod11710149,Men,long-sleeve-tops,True,False
의류,상의,긴팔티셔츠,골프,2026-04-17,룰루레몬,prod11680387,모크넥 골프 롱슬리브 베이스 레이어,mens-long-sleeve-tops,138000,prod11680387,Men,long-sleeve-tops,False,True
의류,상의,긴팔티셔츠,골프,2026-04-17,룰루레몬,prod20005703,모크넥 롱슬리브 골프 베이스 레이어,mens-long-sleeve-tops,138000,prod20005703,Men,long-sleeve-tops,False,True
의류,상의,긴팔티셔츠,일반,2026-04-17,룰루레몬,prod20003659,백 인 액션 코튼 롱슬리브 셔츠,womens-long-sleeve-tops,62000,prod20003659,Women,long-sleeve-tops,False,False
의류,상의,긴팔티셔츠,일반,2026-04-17,룰루레몬,prod20004755,비캄 랩 프런트 롱슬리브 셔츠,womens-long-sleeve-tops,97000,prod20004755,Women,long-sleeve-tops,False,False
의류,상의,긴팔티셔츠,일반,2026-04-17,룰루레몬,sd303cge6j,비캄 랩 프런트 롱슬리브 셔츠 *업데이트 패브릭,womens-long-sleeve-tops,97000,sd303cge6j,Women,long-sleeve-tops,False,False
의류,상의,긴팔티셔츠,일반,2026-04-17,룰루레몬,prod20004283,비캄 오버사이즈드 보트넥 롱슬리브 셔츠,womens-long-sleeve-tops,97000,prod20004283,Women,long-sleeve-tops,False,False
의류,상의,긴팔티셔츠,러닝,2026-04-17,룰루레몬,op3ecdvb9e,사이드 루시드 러닝 롱슬리브 셔츠,womens-long-sleeve-tops,109000,op3ecdvb9e,Women,long-sleeve-tops,False,False
의류,상의,긴팔티셔츠,일반,2026-04-17,룰루레몬,prod20005935,소전 오버셔츠,mens-long-sleeve-tops,184000,prod20005935,Men,long-sleeve-tops,False,False
의류,상의,긴팔티셔츠,일반,2026-04-17,룰루레몬,prod11570109,소프트 저지 롱슬리브 셔츠,mens-long-sleeve-tops,76000,prod11570109,Men,long-sleeve-tops,False,False
의류,상의,긴팔티셔츠,일반,2026-04-17,룰루레몬,prod11560148,소프트 저지 풀오버 후디,mens-long-sleeve-tops,138000,prod11560148,Men,long-sleeve-tops,False,False
의류,상의,긴팔티셔츠,일반,2026-04-17,룰루레몬,prod11520160,소프트 저지 하프집,mens-long-sleeve-tops,97000,prod11520160,Men,long-sleeve-tops,False,False
