Date,룰루레몬 골프복,룰루레몬 여행룩,룰루레몬 요가복,룰루레몬 일상복,룰루레몬 출근룩
2025-04-01,1.01419,0.20283,89.29006,1.41987,0.0
2025-05-01,0.36511,0.0,80.97363,1.29817,0.0
2025-06-01,0.20283,0.0,85.47667,1.41987,0.0
2025-07-01,0.2434,0.0,100.0,1.17647,0.0
2025-08-01,1.29817,0.0,82.71805,1.82555,0.0
2025-09-01,0.0,0.0,81.54158,2.06896,0.0
2025-10-01,0.20283,0.0,62.83975,1.62271,0.0
2025-11-01,0.0,0.0,44.46247,0.40567,0.0
2025-12-01,0.0,0.0,38.13387,0.0,0.28397
2026-01-01,0.0,0.0,48.15415,0.40567,0.0
2026-02-01,0.0,0.0,28.15415,0.40567,0.0
2026-03-01,0.20283,0.0,46.93711,1.98782,0.20283
2026-04-01,0.81135,0.0,27.91075,1.90669,0.0
