수집한 날짜,브랜드,상품 고유 ID,상품명,카테고리,성별,정가,할인가,색상 옵션 개수,총 리뷰 수,태그,대표 이미지 url
2026-04-20,FILA,1100fs262ft02u003001,Coldwave 트리코트 후드 트레이닝집업,트레이닝 셋업 (남성 의류),X,99900,99900,3,,"1100FS262FT02U003001, 2026, Coldwave트리코트후드트레이닝집업, color:블랙:000000, FS262FT02U003, SUMMER, 공용, 남성, 바람막이/집업, 스포츠, 여성, 의류, 트레이닝, 트레이닝 셋업",https://cdn.shopify.com/s/files/1/0736/2350/2884/files/1100FS262FT02U003001_61.jpg?v=1770896959
2026-04-20,FILA,1100fs262ft02u003234,Coldwave 트리코트 후드 트레이닝집업,트레이닝 셋업 (남성 의류),X,99900,99900,3,,"1100FS262FT02U003234, 2026, Coldwave트리코트후드트레이닝집업, color:브라운:A52A2A, FS262FT02U003, SUMMER, 공용, 남성, 바람막이/집업, 스포츠, 여성, 의류, 트레이닝, 트레이닝 셋업",https://cdn.shopify.com/s/files/1/0736/2350/2884/files/1100FS262FT02U003234_61.jpg?v=1770896977
2026-04-20,FILA,1100fs262ft02u002442,Coldwave 트리코트 스텐넥 트레이닝집업,트레이닝 셋업 (남성 의류),X,89900,89900,3,,"1100FS262FT02U002442, 2026, Coldwave트리코트스텐넥트레이닝집업, color:블루:0000FF, FS262FT02U002, SUMMER, 공용, 남성, 바람막이/집업, 스포츠, 여성, 의류, 트레이닝, 트레이닝 셋업",https://cdn.shopify.com/s/files/1/0736/2350/2884/files/1100FS262FT02U002442_61.jpg?v=1770896938
2026-04-20,FILA,1100fs262ft02u002001,Coldwave 트리코트 스텐넥 트레이닝집업,트레이닝 셋업 (남성 의류),X,89900,89900,3,,"1100FS262FT02U002001, 2026, Coldwave트리코트스텐넥트레이닝집업, color:블랙:000000, FS262FT02U002, SUMMER, 공용, 남성, 바람막이/집업, 스포츠, 여성, 의류, 트레이닝, 트레이닝 셋업",https://cdn.shopify.com/s/files/1/0736/2350/2884/files/1100FS262FT02U002001_61.jpg?v=1770896906
2026-04-20,FILA,1100fs262ft02u002191,Coldwave 트리코트 스텐넥 트레이닝집업,트레이닝 셋업 (남성 의류),X,89900,89900,3,,"1100FS262FT02U002191, 2026, Coldwave트리코트스텐넥트레이닝집업, color:화이트:FFFFFF, FS262FT02U002, SUMMER, 공용, 남성, 바람막이/집업, 스포츠, 여성, 의류, 트레이닝, 트레이닝 셋업",https://cdn.shopify.com/s/files/1/0736/2350/2884/files/1100FS262FT02U002191_61.jpg?v=1770896921
2026-04-20,FILA,1100fs262jk02u002472,Coldwave+ 우븐 스트레치 바람막이,트레이닝 셋업 (남성 의류),X,149000,149000,3,,"1100FS262JK02U002472, 2026, Coldwave+우븐스트레치바람막이, color:블루:0000FF, FS262JK02U002, SUMMER, 공용, 남성, 바람막이/집업, 스포츠, 여성, 의류, 트레이닝, 트레이닝 셋업",https://cdn.shopify.com/s/files/1/0736/2350/2884/files/1100FS262JK02U002472_61.jpg?v=1770870039
2026-04-20,FILA,1100fs262jk02u002001,Coldwave+ 우븐 스트레치 바람막이,트레이닝 셋업 (남성 의류),X,149000,149000,3,,"1100FS262JK02U002001, 2026, Coldwave+우븐스트레치바람막이, color:블랙:000000, FS262JK02U002, SUMMER, 공용, 남성, 바람막이/집업, 스포츠, 여성, 의류, 트레이닝, 트레이닝 셋업",https://cdn.shopify.com/s/files/1/0736/2350/2884/files/1100FS262JK02U002001_61.jpg?v=1770870091
2026-04-20,FILA,1100fs262jk02u002191,Coldwave+ 우븐 스트레치 바람막이,트레이닝 셋업 (남성 의류),X,149000,149000,3,,"1100FS262JK02U002191, 2026, Coldwave+우븐스트레치바람막이, color:화이트:FFFFFF, FS262JK02U002, SUMMER, 공용, 남성, 바람막이/집업, 스포츠, 여성, 의류, 트레이닝, 트레이닝 셋업",https://cdn.shopify.com/s/files/1/0736/2350/2884/files/1100FS262JK02U002191_61.jpg?v=1770870116
2026-04-20,FILA,1100fs262wp02u001001,Coldwave+ 우븐 스트레치 팬츠,트레이닝 셋업 (남성 의류),X,99900,99900,2,,"1100FS262WP02U001001, 2026, Coldwave+우븐스트레치팬츠, color:블랙:000000, FS262WP02U001, SUMMER, 공용, 남성, 스포츠, 여성, 의류, 트레이닝, 트레이닝 셋업, 팬츠",https://cdn.shopify.com/s/files/1/0736/2350/2884/files/1100FS262WP02U001001_61.jpg?v=1770873887
2026-04-20,FILA,1100fs262wp02u001472,Coldwave+ 우븐 스트레치 팬츠,트레이닝 셋업 (남성 의류),X,99900,99900,2,,"1100FS262WP02U001472, 2026, Coldwave+우븐스트레치팬츠, color:블루:0000FF, FS262WP02U001, SUMMER, 공용, 남성, 스포츠, 여성, 의류, 트레이닝, 트레이닝 셋업, 팬츠",https://cdn.shopify.com/s/files/1/0736/2350/2884/files/1100FS262WP02U001472_61.jpg?v=1770873918
